Age,Gender,Weight (kg),Height (cm),Activity,Duration (minutes),Calories
60,Male,90,185,Yoga,60,225.0
39,Male,98,188,Running,25,400.17
49,Male,98,189,Jump rope,85,1707.65
25,Male,76,165,Jump rope,50,779.0
18,Female,77,179,Swimming,80,718.67
26,Female,83,161,Swimming,40,387.33
22,Male,62,179,Swimming,65,470.17
45,Male,52,153,Swimming,50,303.33
40,Male,50,187,Walking,60,175.0
41,Female,81,166,Cycling,30,324.0
30,Male,68,163,Jump rope,35,487.9
33,Male,80,172,Yoga,85,283.33
25,Male,83,174,Walking,40,193.67
22,Female,100,188,Running,55,898.33
34,Female,48,180,Yoga,15,30.0
33,Male,98,173,Yoga,30,122.5
25,Male,91,189,Walking,70,371.58
44,Female,87,163,Yoga,90,326.25
33,Male,62,154,Jump rope,40,508.4
41,Male,60,170,Jump rope,50,615.0
33,Female,67,155,Jump rope,30,412.05
39,Male,66,190,Walking,75,288.75
40,Male,96,155,Jump rope,50,984.0
46,Female,73,190,Running,35,417.32
25,Female,46,188,Running,65,488.37
46,Female,77,169,Jump rope,15,236.78
44,Female,51,181,Running,50,416.5
45,Female,48,177,Swimming,45,252.0
23,Male,78,190,Walking,60,273.0
29,Male,76,188,Running,80,993.07
42,Female,66,178,Jump rope,50,676.5
53,Female,58,159,Yoga,25,60.42
59,Male,91,164,Running,60,891.8
21,Male,92,187,Jump rope,45,848.7
48,Male,85,155,Running,80,1110.67
50,Female,76,158,Yoga,60,190.0
25,Male,58,188,Running,85,805.23
45,Male,85,187,Swimming,15,148.75
39,Male,69,173,Jump rope,85,1202.33
45,Male,91,181,Swimming,90,955.5
49,Female,86,170,Yoga,65,232.92
39,Male,95,164,Cycling,30,380.0
34,Male,45,190,Yoga,45,84.38
50,Female,56,174,Jump rope,20,229.6
19,Female,64,172,Walking,35,130.67
36,Male,98,188,Walking,80,457.33
20,Male,59,153,Running,55,530.02
40,Male,80,184,Swimming,10,93.33
19,Female,98,162,Swimming,30,343.0
27,Female,51,174,Running,20,166.6
41,Male,51,178,Running,20,166.6
52,Male,74,156,Swimming,25,215.83
43,Male,92,182,Jump rope,30,565.8
52,Female,54,172,Walking,25,78.75
56,Male,86,174,Yoga,85,304.58
56,Male,66,158,Swimming,75,577.5
29,Female,73,159,Cycling,30,292.0
50,Female,73,185,Swimming,80,681.33
28,Male,45,155,Walking,80,210.0
20,Female,52,165,Yoga,60,130.0
58,Male,68,180,Jump rope,90,1254.6
53,Female,67,187,Jump rope,90,1236.15
45,Female,50,174,Swimming,50,291.67
25,Female,86,161,Cycling,40,458.67
36,Female,94,154,Swimming,90,987.0
57,Female,79,185,Swimming,15,138.25
28,Female,83,171,Walking,60,290.5
48,Male,59,157,Walking,65,223.71
28,Male,64,165,Swimming,35,261.33
57,Male,62,185,Running,25,253.17
22,Male,91,165,Jump rope,75,1399.12
52,Male,73,161,Yoga,60,182.5
52,Female,69,177,Running,70,788.9
55,Female,80,184,Yoga,65,216.67
35,Female,57,175,Cycling,20,152.0
39,Male,83,169,Running,50,677.83
44,Female,93,173,Running,60,911.4
59,Female,55,177,Running,45,404.25
20,Male,50,187,Swimming,55,320.83
51,Male,96,177,Cycling,35,448.0
37,Female,52,179,Yoga,40,86.67
29,Male,74,178,Walking,65,280.58
53,Female,63,175,Cycling,90,756.0
58,Female,57,159,Swimming,25,166.25
34,Male,61,175,Swimming,50,355.83
22,Male,77,173,Cycling,85,872.67
24,Female,57,151,Running,45,418.95
40,Male,50,171,Yoga,25,52.08
46,Female,71,180,Yoga,20,59.17
51,Male,79,182,Walking,15,69.12
30,Male,93,160,Walking,25,135.62
58,Male,45,156,Cycling,45,270.0
59,Male,79,152,Running,65,838.72
45,Female,73,178,Swimming,65,553.58
42,Male,91,150,Swimming,50,530.83
43,Female,56,154,Jump rope,85,975.8
53,Male,77,177,Running,25,314.42
59,Female,56,166,Walking,65,212.33
33,Male,93,154,Walking,40,217.0
30,Male,88,173,Walking,15,77.0
44,Female,69,187,Running,30,338.1
55,Male,51,153,Yoga,70,148.75
30,Male,52,156,Running,85,721.93
53,Female,60,151,Swimming,70,490.0
22,Female,99,164,Yoga,75,309.38
59,Female,49,158,Swimming,10,57.17
26,Male,76,162,Swimming,55,487.67
43,Male,64,187,Yoga,70,186.67
40,Female,90,184,Jump rope,90,1660.5
55,Male,78,166,Walking,20,91.0
54,Male,79,167,Yoga,25,82.29
19,Male,69,185,Cycling,70,644.0
28,Male,63,180,Jump rope,20,258.3
26,Female,95,174,Jump rope,15,292.12
41,Female,85,168,Running,50,694.17
20,Male,77,161,Jump rope,20,315.7
41,Female,82,170,Jump rope,80,1344.8
48,Female,61,179,Swimming,15,106.75
54,Male,92,188,Yoga,90,345.0
37,Male,97,189,Running,85,1346.68
57,Male,95,163,Walking,65,360.21
40,Male,85,165,Cycling,20,226.67
47,Male,100,152,Swimming,25,291.67
42,Female,88,155,Walking,60,308.0
56,Male,49,174,Jump rope,80,803.6
46,Female,53,156,Cycling,85,600.67
51,Male,68,177,Walking,15,59.5
29,Female,76,160,Walking,70,310.33
46,Female,54,158,Running,60,529.2
22,Female,77,169,Cycling,65,667.33
40,Female,69,182,Jump rope,15,212.18
25,Female,84,182,Yoga,60,210.0
50,Male,100,164,Running,75,1225.0
56,Male,50,158,Jump rope,50,512.5
34,Male,83,188,Jump rope,65,1105.98
18,Male,48,154,Running,75,588.0
54,Male,66,187,Running,40,431.2
52,Female,83,167,Jump rope,75,1276.12
45,Male,91,164,Walking,55,291.96
44,Female,69,168,Walking,45,181.12
34,Female,73,189,Swimming,85,723.92
29,Male,76,177,Running,60,744.8
57,Female,50,187,Cycling,35,233.33
18,Male,81,175,Yoga,25,84.38
54,Female,80,171,Cycling,35,373.33
27,Male,45,174,Yoga,30,56.25
18,Male,48,166,Yoga,45,90.0
29,Male,73,180,Cycling,70,681.33
60,Female,73,161,Swimming,55,468.42
42,Male,57,189,Cycling,35,266.0
50,Female,56,178,Yoga,80,186.67
42,Male,94,159,Walking,85,466.08
56,Male,63,171,Yoga,55,144.38
44,Male,67,153,Running,80,875.47
48,Female,85,159,Cycling,30,340.0
33,Female,94,177,Running,55,844.43
27,Female,49,154,Walking,35,100.04
18,Male,99,176,Cycling,10,132.0
45,Male,78,184,Walking,50,227.5
49,Male,89,165,Walking,90,467.25
51,Male,57,174,Cycling,50,380.0
31,Male,85,178,Running,70,971.83
37,Female,85,170,Running,20,277.67
22,Male,54,161,Jump rope,15,166.05
55,Female,46,182,Yoga,20,38.33
23,Male,74,159,Cycling,35,345.33
31,Female,93,184,Walking,50,271.25
46,Male,66,190,Swimming,65,500.5
29,Female,95,187,Cycling,75,950.0
23,Female,58,164,Cycling,25,193.33
60,Female,50,189,Walking,55,160.42
41,Male,67,154,Running,90,984.9
47,Female,84,188,Yoga,50,175.0
20,Female,68,184,Cycling,30,272.0
47,Female,87,150,Walking,80,406.0
18,Female,60,178,Walking,20,70.0
47,Female,94,171,Yoga,25,97.92
55,Male,54,160,Swimming,15,94.5
20,Male,57,161,Cycling,45,342.0
27,Female,97,178,Jump rope,25,497.13
43,Male,84,175,Cycling,75,840.0
26,Male,74,162,Swimming,10,86.33
19,Male,88,175,Swimming,75,770.0
28,Male,75,166,Walking,45,196.88
35,Female,56,158,Running,20,182.93
55,Male,64,157,Cycling,80,682.67
22,Male,98,160,Walking,70,400.17
48,Female,55,174,Yoga,25,57.29
53,Female,78,158,Jump rope,75,1199.25
28,Male,58,165,Jump rope,70,832.3
39,Female,69,161,Running,90,1014.3
24,Female,54,176,Cycling,70,504.0
31,Female,80,152,Cycling,65,693.33
60,Female,76,190,Walking,80,354.67
34,Female,48,167,Running,45,352.8
33,Male,94,163,Walking,40,219.33
37,Male,79,188,Swimming,90,829.5
36,Female,97,162,Walking,60,339.5
18,Female,77,165,Cycling,85,872.67
24,Female,89,182,Yoga,55,203.96
42,Female,85,160,Running,70,971.83
43,Male,93,154,Yoga,85,329.38
22,Female,50,189,Running,40,326.67
58,Female,70,186,Running,50,571.67
38,Male,86,170,Walking,80,401.33
33,Male,59,172,Running,10,96.37
18,Female,88,168,Jump rope,60,1082.4
22,Male,100,173,Yoga,75,312.5
18,Female,74,182,Swimming,80,690.67
36,Male,68,164,Yoga,75,212.5
58,Female,45,168,Swimming,20,105.0
26,Male,75,176,Jump rope,30,461.25
52,Female,64,169,Jump rope,70,918.4
25,Male,75,171,Running,20,245.0
20,Male,95,164,Running,90,1396.5
55,Male,93,169,Cycling,75,930.0
18,Female,80,164,Yoga,75,250.0
59,Male,75,190,Yoga,75,234.38
43,Female,100,183,Cycling,50,666.67
45,Female,52,170,Cycling,35,242.67
30,Female,100,189,Jump rope,80,1640.0
31,Female,91,186,Yoga,25,94.79
54,Male,58,182,Swimming,15,101.5
45,Female,98,156,Cycling,75,980.0
30,Female,85,153,Jump rope,30,522.75
59,Male,86,188,Jump rope,60,1057.8
51,Female,51,187,Running,15,124.95
24,Male,57,180,Cycling,55,418.0
33,Female,69,182,Jump rope,90,1273.05
60,Female,48,175,Yoga,40,80.0
26,Female,69,190,Walking,15,60.38
46,Male,77,153,Yoga,45,144.38
59,Male,89,151,Running,85,1235.62
35,Female,82,163,Walking,85,406.58
57,Female,99,171,Running,10,161.7
29,Male,65,169,Yoga,65,176.04
40,Male,59,184,Cycling,15,118.0
55,Male,53,181,Jump rope,10,108.65
20,Male,99,187,Running,15,242.55
51,Female,84,161,Walking,30,147.0
50,Female,62,160,Swimming,90,651.0
60,Male,97,180,Yoga,40,161.67
49,Female,54,181,Jump rope,10,110.7
33,Female,61,167,Jump rope,15,187.58
49,Male,97,151,Swimming,75,848.75
47,Female,82,167,Cycling,90,984.0
38,Male,93,175,Jump rope,85,1620.53
36,Male,73,168,Swimming,65,553.58
26,Male,52,179,Swimming,25,151.67
41,Female,86,178,Yoga,40,143.33
31,Female,87,184,Running,80,1136.8
32,Male,46,173,Cycling,25,153.33
54,Male,95,157,Yoga,10,39.58
40,Male,63,190,Walking,60,220.5
50,Female,58,157,Swimming,60,406.0
27,Female,51,155,Swimming,45,267.75
26,Male,99,163,Walking,65,375.38
34,Male,98,159,Running,70,1120.47
18,Male,85,158,Yoga,20,70.83
18,Male,94,182,Swimming,30,329.0
41,Male,95,154,Jump rope,90,1752.75
18,Female,67,181,Yoga,10,27.92
49,Male,100,185,Yoga,85,354.17
20,Female,86,160,Yoga,35,125.42
30,Male,63,168,Swimming,10,73.5
23,Male,76,152,Cycling,45,456.0
38,Male,99,171,Swimming,85,981.75
28,Male,79,154,Yoga,10,32.92
32,Female,66,156,Jump rope,85,1150.05
18,Female,52,155,Cycling,45,312.0
40,Female,52,179,Jump rope,40,426.4
35,Male,96,167,Yoga,25,100.0
36,Female,69,164,Running,30,338.1
23,Female,51,173,Swimming,45,267.75
19,Female,82,186,Swimming,70,669.67
45,Female,61,161,Walking,55,195.71
45,Male,66,176,Cycling,80,704.0
24,Female,81,167,Cycling,25,270.0
19,Female,77,186,Swimming,75,673.75
18,Female,46,164,Walking,65,174.42
39,Male,86,153,Yoga,60,215.0
22,Female,76,160,Walking,20,88.67
44,Female,69,168,Swimming,60,483.0
41,Male,75,159,Cycling,70,700.0
36,Female,45,156,Yoga,65,121.87
43,Female,59,167,Swimming,25,172.08
59,Female,72,174,Jump rope,20,295.2
39,Female,55,174,Cycling,40,293.33
38,Male,74,187,Yoga,40,123.33
59,Female,89,168,Walking,70,363.42
31,Male,70,165,Cycling,30,280.0
19,Male,63,187,Swimming,45,330.75
19,Male,60,165,Running,40,392.0
30,Male,69,167,Swimming,30,241.5
52,Female,70,152,Jump rope,30,430.5
34,Male,78,189,Jump rope,40,639.6
29,Female,53,188,Swimming,50,309.17
25,Male,53,175,Swimming,85,525.58
19,Male,57,171,Jump rope,60,701.1
43,Male,47,156,Cycling,65,407.33
37,Female,73,155,Yoga,90,273.75
27,Female,68,172,Walking,25,99.17
56,Male,73,157,Yoga,30,91.25
54,Male,91,183,Jump rope,70,1305.85
60,Male,59,163,Swimming,30,206.5
36,Female,70,188,Walking,20,81.67
30,Female,84,167,Walking,70,343.0
21,Female,86,178,Walking,70,351.17
37,Male,65,151,Running,50,530.83
29,Male,88,178,Walking,65,333.67
43,Male,72,175,Cycling,85,816.0
47,Male,53,172,Walking,45,139.12
32,Male,95,184,Walking,35,193.96
35,Male,93,186,Running,10,151.9
56,Female,61,175,Swimming,50,355.83
23,Male,68,189,Cycling,65,589.33
20,Male,94,168,Jump rope,25,481.75
55,Male,69,161,Walking,65,261.62
50,Female,94,182,Jump rope,30,578.1
18,Female,55,157,Cycling,45,330.0
37,Female,54,190,Jump rope,60,664.2
37,Male,93,174,Running,20,303.8
19,Female,81,169,Jump rope,45,747.23
60,Male,51,172,Cycling,55,374.0
41,Male,57,167,Walking,70,232.75
29,Female,93,158,Jump rope,85,1620.53
53,Female,55,188,Jump rope,65,732.88
44,Male,74,180,Jump rope,40,606.8
22,Male,77,172,Walking,80,359.33
49,Male,68,163,Walking,60,238.0
54,Male,70,157,Cycling,30,280.0
22,Female,97,157,Walking,10,56.58
27,Female,81,171,Cycling,50,540.0
29,Female,99,162,Cycling,55,726.0
56,Female,61,166,Jump rope,35,437.68
23,Female,48,183,Cycling,55,352.0
41,Male,68,175,Yoga,75,212.5
27,Male,67,180,Running,40,437.73
42,Male,91,187,Yoga,40,151.67
53,Female,79,175,Yoga,45,148.12
60,Female,87,160,Cycling,90,1044.0
34,Female,58,188,Walking,50,169.17
18,Male,62,150,Yoga,25,64.58
21,Female,66,171,Walking,90,346.5
25,Male,45,185,Yoga,20,37.5
19,Female,58,177,Cycling,70,541.33
52,Female,91,156,Walking,40,212.33
43,Male,60,156,Walking,30,105.0
36,Female,74,178,Yoga,60,185.0
54,Male,99,157,Swimming,45,519.75
31,Male,50,185,Swimming,65,379.17
25,Male,61,184,Running,20,199.27
21,Male,88,166,Swimming,10,102.67
31,Male,89,172,Jump rope,60,1094.7
34,Male,59,173,Jump rope,90,1088.55
18,Female,91,186,Jump rope,30,559.65
46,Male,55,175,Walking,65,208.54
56,Male,96,159,Cycling,10,128.0
45,Male,82,150,Swimming,90,861.0
33,Female,61,183,Yoga,65,165.21
29,Female,68,168,Swimming,65,515.67
30,Male,68,187,Running,85,944.07
56,Female,57,170,Running,85,791.35
23,Female,55,189,Swimming,25,160.42
31,Female,59,185,Jump rope,40,483.8
48,Male,57,162,Running,60,558.6
37,Female,77,162,Yoga,60,192.5
52,Female,99,172,Running,55,889.35
55,Female,59,153,Walking,55,189.29
37,Male,63,177,Walking,75,275.62
28,Male,50,150,Swimming,45,262.5
33,Male,46,187,Swimming,65,348.83
39,Male,59,166,Yoga,50,122.92
35,Male,77,152,Yoga,80,256.67
44,Female,97,168,Swimming,10,113.17
43,Female,96,158,Swimming,20,224.0
32,Male,54,180,Jump rope,35,387.45
28,Female,84,172,Swimming,80,784.0
31,Male,92,170,Running,50,751.33
55,Male,79,184,Yoga,85,279.79
49,Female,90,175,Swimming,25,262.5
59,Male,74,161,Running,75,906.5
56,Female,69,170,Running,60,676.2
40,Female,89,167,Cycling,85,1008.67
38,Male,85,160,Yoga,60,212.5
26,Male,54,157,Cycling,15,108.0
45,Female,47,151,Cycling,45,282.0
50,Male,95,169,Running,90,1396.5
35,Male,48,177,Walking,75,210.0
18,Female,47,181,Walking,55,150.79
29,Female,80,182,Walking,60,280.0
60,Male,69,184,Yoga,75,215.62
47,Male,74,157,Yoga,70,215.83
50,Male,89,171,Swimming,70,726.83
45,Female,67,182,Running,30,328.3
26,Female,53,178,Jump rope,45,488.93
25,Female,81,189,Cycling,60,648.0
32,Male,92,190,Walking,40,214.67
57,Female,80,186,Running,40,522.67
27,Female,64,184,Swimming,65,485.33
59,Female,57,165,Cycling,60,456.0
45,Male,71,160,Running,65,753.78
55,Male,85,150,Swimming,55,545.42
32,Female,55,176,Jump rope,85,958.38
32,Female,54,174,Walking,90,283.5
57,Female,94,181,Walking,75,411.25
58,Male,81,180,Cycling,65,702.0
18,Male,87,163,Walking,30,152.25
24,Male,65,158,Swimming,10,75.83
37,Male,47,179,Walking,15,41.12
43,Male,64,174,Cycling,85,725.33
37,Male,94,158,Jump rope,55,1059.85
44,Female,55,190,Swimming,70,449.17
45,Female,100,178,Running,65,1061.67
19,Female,73,184,Cycling,65,632.67
58,Male,75,179,Swimming,70,612.5
20,Male,71,164,Jump rope,60,873.3
52,Male,92,175,Swimming,70,751.33
30,Female,98,179,Swimming,25,285.83
34,Male,46,180,Yoga,45,86.25
40,Female,96,176,Yoga,80,320.0
47,Female,69,187,Yoga,75,215.62
44,Female,88,176,Yoga,50,183.33
48,Female,68,188,Cycling,15,136.0
54,Male,63,161,Yoga,75,196.88
29,Male,67,172,Cycling,40,357.33
34,Female,74,171,Yoga,50,154.17
35,Female,57,178,Cycling,15,114.0
55,Male,49,160,Walking,60,171.5
27,Female,100,160,Walking,85,495.83
31,Female,71,189,Yoga,55,162.71
53,Male,58,154,Jump rope,55,653.95
20,Male,72,160,Running,75,882.0
40,Male,91,178,Jump rope,10,186.55
56,Male,90,162,Yoga,40,150.0
18,Male,58,176,Cycling,15,116.0
44,Male,45,178,Yoga,60,112.5
19,Male,75,190,Running,65,796.25
27,Male,85,181,Yoga,45,159.38
56,Male,91,167,Jump rope,65,1212.57
25,Female,97,155,Jump rope,30,596.55
60,Male,82,167,Walking,40,191.33
43,Male,76,161,Swimming,65,576.33
47,Female,78,178,Cycling,75,780.0
44,Male,77,150,Cycling,45,462.0
28,Male,70,151,Jump rope,80,1148.0
54,Female,79,178,Swimming,20,184.33
31,Male,53,190,Cycling,75,530.0
39,Male,46,175,Cycling,85,521.33
58,Male,45,188,Cycling,90,540.0
47,Male,86,152,Jump rope,80,1410.4
29,Female,51,170,Running,30,249.9
47,Female,58,188,Running,90,852.6
47,Female,79,172,Running,65,838.72
51,Male,45,189,Swimming,15,78.75
19,Male,98,181,Swimming,65,743.17
28,Male,51,159,Yoga,35,74.38
24,Male,79,181,Swimming,10,92.17
54,Male,95,157,Swimming,80,886.67
40,Male,72,166,Cycling,85,816.0
43,Male,64,186,Cycling,90,768.0
22,Female,83,153,Swimming,55,532.58
44,Male,52,169,Yoga,90,195.0
35,Female,97,184,Walking,30,169.75
30,Female,75,178,Swimming,65,568.75
20,Male,48,175,Jump rope,30,295.2
36,Male,49,172,Yoga,35,71.46
22,Male,75,154,Swimming,50,437.5
45,Female,45,162,Jump rope,80,738.0
47,Male,59,183,Running,60,578.2
49,Male,61,185,Jump rope,40,500.2
24,Male,65,179,Walking,50,189.58
29,Female,64,161,Running,75,784.0
28,Male,77,151,Jump rope,30,473.55
31,Male,49,185,Running,70,560.23
59,Female,78,172,Jump rope,20,319.8
54,Female,83,170,Cycling,70,774.67
60,Female,51,177,Jump rope,10,104.55
58,Female,55,187,Running,75,673.75
48,Male,98,180,Cycling,45,588.0
40,Male,80,151,Cycling,80,853.33
59,Male,48,150,Jump rope,10,98.4
56,Female,70,168,Cycling,90,840.0
42,Male,70,174,Cycling,90,840.0
51,Female,57,184,Cycling,30,228.0
59,Female,54,183,Swimming,60,378.0
22,Male,90,169,Running,50,735.0
60,Male,81,157,Yoga,25,84.38
29,Female,90,151,Swimming,80,840.0
19,Male,71,175,Walking,50,207.08
38,Male,85,159,Cycling,80,906.67
24,Female,55,187,Walking,75,240.62
44,Male,73,157,Walking,40,170.33
28,Female,59,162,Walking,35,120.46
34,Male,63,190,Cycling,55,462.0
58,Male,52,174,Yoga,65,140.83
46,Male,57,169,Swimming,60,399.0
32,Male,94,155,Running,10,153.53
51,Male,63,175,Swimming,40,294.0
33,Male,66,163,Cycling,70,616.0
38,Female,94,177,Running,35,537.37
49,Male,53,177,Running,50,432.83
20,Male,51,186,Running,15,124.95
20,Male,66,181,Cycling,15,132.0
38,Male,85,169,Swimming,85,842.92
38,Male,71,164,Yoga,45,133.12
32,Male,81,188,Walking,20,94.5
39,Female,63,172,Walking,70,257.25
29,Male,47,186,Yoga,30,58.75
54,Male,54,171,Jump rope,15,166.05
38,Female,95,164,Jump rope,40,779.0
43,Female,77,173,Walking,25,112.29
29,Female,83,189,Swimming,80,774.67
30,Male,90,155,Yoga,15,56.25
55,Female,66,187,Running,60,646.8
48,Female,92,182,Swimming,85,912.33
54,Male,88,184,Walking,55,282.33
25,Male,57,157,Jump rope,40,467.4
30,Male,47,162,Walking,80,219.33
37,Female,88,188,Walking,85,436.33
49,Female,61,176,Swimming,70,498.17
44,Male,66,157,Cycling,65,572.0
53,Female,80,155,Yoga,65,216.67
26,Male,55,166,Jump rope,30,338.25
18,Male,69,190,Jump rope,35,495.08
18,Female,66,163,Yoga,70,192.5
51,Male,49,177,Walking,85,242.96
56,Male,85,162,Jump rope,65,1132.62
41,Male,60,153,Swimming,50,350.0
58,Female,52,173,Jump rope,55,586.3
19,Male,76,170,Jump rope,50,779.0
30,Male,87,163,Walking,60,304.5
25,Male,88,153,Swimming,55,564.67
23,Female,63,162,Yoga,20,52.5
56,Female,86,154,Walking,40,200.67
50,Female,85,167,Cycling,40,453.33
37,Male,96,180,Jump rope,50,984.0
21,Male,67,188,Yoga,45,125.62
32,Male,86,164,Cycling,35,401.33
42,Female,53,190,Walking,65,200.96
49,Female,81,164,Swimming,40,378.0
58,Male,55,166,Jump rope,75,845.62
46,Female,73,180,Swimming,50,425.83
32,Female,67,169,Yoga,65,181.46
21,Female,65,170,Cycling,60,520.0
50,Female,63,181,Walking,60,220.5
60,Female,50,176,Yoga,70,145.83
58,Male,51,186,Yoga,55,116.88
18,Male,65,169,Jump rope,10,133.25
28,Female,55,177,Swimming,55,352.92
60,Female,46,163,Swimming,70,375.67
42,Female,93,177,Cycling,35,434.0
23,Male,89,187,Walking,15,77.88
50,Male,90,169,Cycling,25,300.0
25,Male,69,181,Jump rope,85,1202.33
24,Male,51,155,Running,80,666.4
53,Female,75,155,Swimming,50,437.5
30,Male,77,164,Swimming,50,449.17
43,Female,93,172,Yoga,30,116.25
44,Female,70,189,Jump rope,50,717.5
52,Female,72,157,Walking,35,147.0
42,Male,55,182,Yoga,75,171.88
33,Female,70,165,Cycling,90,840.0
19,Male,88,151,Jump rope,35,631.4
24,Female,85,169,Yoga,65,230.21
28,Male,71,162,Jump rope,25,363.88
37,Male,62,182,Yoga,70,180.83
42,Male,76,183,Yoga,90,285.0
35,Female,54,171,Yoga,90,202.5
34,Male,56,178,Walking,20,65.33
45,Female,52,152,Cycling,20,138.67
59,Male,83,169,Swimming,10,96.83
22,Female,69,158,Walking,25,100.62
32,Female,91,151,Swimming,40,424.67
37,Male,77,188,Yoga,50,160.42
27,Male,51,177,Swimming,60,357.0
48,Male,58,174,Cycling,70,541.33
20,Male,77,182,Jump rope,15,236.78
26,Female,50,150,Jump rope,15,153.75
20,Female,67,182,Walking,45,175.88
54,Female,84,168,Swimming,25,245.0
20,Female,72,178,Jump rope,50,738.0
27,Male,84,150,Yoga,20,70.0
28,Male,72,182,Swimming,70,588.0
46,Female,56,181,Cycling,45,336.0
53,Female,62,156,Walking,10,36.17
60,Female,53,173,Yoga,85,187.71
35,Male,91,157,Running,60,891.8
23,Female,84,160,Cycling,35,392.0
45,Male,76,170,Jump rope,50,779.0
46,Female,60,178,Walking,40,140.0
32,Male,64,168,Walking,60,224.0
20,Male,95,163,Yoga,25,98.96
30,Female,76,188,Running,75,931.0
44,Female,92,169,Walking,70,375.67
40,Female,100,180,Walking,55,320.83
43,Female,89,168,Jump rope,70,1277.15
59,Female,79,159,Cycling,35,368.67
41,Female,64,151,Cycling,85,725.33
56,Male,64,179,Yoga,50,133.33
29,Female,85,151,Jump rope,75,1306.88
58,Female,52,150,Cycling,70,485.33
39,Female,71,158,Swimming,35,289.92
51,Male,58,179,Cycling,65,502.67
22,Female,53,169,Yoga,75,165.62
30,Male,53,150,Cycling,45,318.0
47,Male,93,160,Swimming,75,813.75
33,Male,66,180,Yoga,35,96.25
25,Female,60,177,Yoga,50,125.0
30,Male,80,163,Walking,65,303.33
33,Male,60,169,Running,90,882.0
19,Female,82,158,Running,75,1004.5
50,Male,57,160,Cycling,70,532.0
19,Male,51,167,Yoga,90,191.25
18,Male,49,157,Walking,25,71.46
33,Female,61,176,Walking,50,177.92
22,Female,78,175,Yoga,70,227.5
41,Female,97,178,Cycling,10,129.33
57,Male,86,154,Yoga,30,107.5
46,Male,85,155,Jump rope,45,784.12
25,Male,60,180,Yoga,50,125.0
33,Female,86,174,Swimming,65,652.17
30,Female,96,154,Running,35,548.8
25,Female,82,164,Walking,55,263.08
37,Male,86,152,Walking,35,175.58
56,Female,61,166,Running,85,846.88
